StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201703,   2.45,   53.4,   -.45,   3.81,  -1.36,   3.24,     10,    304,    -.2,   1.07,   1.74,   1.89,   1.81,   1.75,   1.42,   41.6,   65.1,
       04,      00,   201704,   2.76,   55.6,    .48,    3.9,   1.45,   3.82,     20,    244,   1.05,    .35,   1.24,   1.66,   1.86,   1.81,   1.56,   43.6,   67.7,
       04,      00,   201705,    .43,   63.4,   -.22,   3.28,   -.66,   2.89,     46,    133,   -.65,    .63,    .15,   1.68,    1.8,   1.77,   1.52,   49.7,   77.2,
       04,      00,   201706,    .26,   72.8,   -.26,   2.88,   -.17,   2.38,    180,     17,   -.07,    -.7,    .55,   1.71,   1.82,   1.74,    1.5,   58.2,   87.3,
       04,      00,   201707,    .09,   78.8,   -.75,   2.06,  -1.58,    .92,    336,      0,   -.65,   -.42,   -.91,   1.09,   1.55,   1.75,   1.45,   63.9,   93.7,
       04,      00,   201708,    .27,   77.9,   -.98,   1.54,   -.92,    .08,    320,      0,    .42,      0,   -.26,    .12,   1.64,   1.76,   1.46,   63.6,   92.1,
       04,      00,   201709,    .43,   69.8,   -.96,    1.3,   -.24,   -.21,    161,     16,    .34,    .33,     .1,    .51,   1.69,   1.79,   1.48,   56.6,   83.1,
       04,      00,   201710,    .34,     62,  -1.55,  -1.55,  -2.05,  -1.55,     76,     87,  -1.06,   -.92,   -.84,  -1.35,    .87,   1.45,   1.41,   47.4,   76.5,
       04,      00,   201711,   2.98,   53.4,  -1.41,  -1.41,   -.08,  -1.37,     14,    251,    .43,   -.08,   -.07,   -.13,    -.1,   1.63,   1.54,   43.1,   63.7,
       04,      00,   201712,     .3,   47.5,  -2.63,  -2.63,  -4.07,  -2.63,      3,    398,  -1.95,   -.97,  -1.21,  -1.27,   -.94,   1.03,   1.12,   35.2,   59.7,
       04,      00,   201801,   3.32,   48.8,  -3.13,  -3.13,  -2.34,  -3.13,      8,    373,   -.14,  -1.22,   -.88,  -1.08,  -1.22,   -.04,    .81,   39.1,   58.6,
       04,      00,   201802,    .57,   46.6,  -4.15,  -4.15,  -4.01,  -4.15,      0,    416,  -1.65,  -1.13,  -1.98,  -1.72,  -1.74,   -1.5,    .68,   34.2,     59,
       04,      00,   201803,   5.11,     49,  -3.06,  -3.06,   1.98,  -2.24,      1,    426,   1.02,   -.24,   -.33,  -1.07,  -1.09,   -.91,    .71,   38.2,   59.7,
       04,      00,   201804,   2.13,   57.1,  -2.63,  -2.63,    .33,  -1.65,     20,    239,    .63,   1.03,   -.07,   -.72,   -.88,   -.99,    .77,   44.3,   69.9,
       04,      00,   201805,    .66,     63,  -2.42,  -2.42,   -.17,  -1.48,     35,    160,   -.15,    .36,    .93,   -.92,   -.93,   -.95,    .78,   50.1,   75.8,
       04,      00,   201806,    .07,   71.5,  -2.28,  -2.28,   -.33,  -1.43,    139,     31,  -1.05,   -.62,    .15,   -.29,   -.96,   -.98,    .75,   56.4,   86.6,
       04,      00,   201807,    .22,   79.6,  -2.41,  -2.41,  -1.09,  -1.91,    377,      0,    .53,   -.67,   -.54,   -.17,   -.79,   -.95,    .77,   65.1,   94.1,
       04,      00,   201808,    .04,   76.4,  -2.72,  -2.72,  -1.67,  -2.72,    300,      1,  -1.34,   -.54,  -1.17,    .79,  -1.02,     -1,    .77,   61.8,     91,
       04,      00,   201809,    .06,   71.2,  -2.93,  -2.93,  -1.48,  -2.93,    173,     18,  -1.39,  -2.01,  -1.26,   -.21,   -.39,  -1.08,    .76,   56.2,   86.1,
       04,      00,   201810,     .7,     61,  -3.04,  -3.04,  -1.25,  -3.04,     46,    111,   -.46,   -.93,  -1.16,  -1.42,   -.49,  -1.02,    .41,   48.4,   73.5,
